Start Time,End Time,Model Name,Agent Name,Exam Name,Temperature,Questions,Accuracy,Input Tokens,Output Tokens,Total Tokens,Tokens per Question,Total Cost,Cost per Question,Runtime,Runtime per Question,Num Correct,Num Incorrect,Num Errors
2024-06-08 03:56:29,2024-06-08 04:57:52,cohere-command-r-plus,chain_of_thought,comprehensive-100,0.7,100,0.63,53702,144940,198642,1986.42,2.335206,0.0233520599999999,3683.135385,36.83135385,63,37,3
2024-06-08 04:57:52,2024-06-08 05:59:27,cohere-command-r-plus,chain_of_thought,comprehensive-100,0.8,100,0.64,54628,145325,199953,1999.53,2.343759,0.0234375899999999,3695.376067,36.95376067,64,36,3
2024-06-08 05:59:27,2024-06-08 07:00:21,cohere-command-r-plus,chain_of_thought,comprehensive-100,0.9,100,0.66,53769,143563,197332,1973.32,2.3147519999999995,0.0231475199999999,3653.559722,36.53559722,66,34,4
2024-06-08 07:00:21,2024-06-08 08:02:41,cohere-command-r-plus,chain_of_thought,comprehensive-100,1.0,100,0.68,54628,146883,201511,2015.11,2.367129,0.0236712899999999,3740.075005,37.40075005,68,32,1
2024-06-07 19:43:29,2024-06-07 20:10:54,gemini-1.0-pro,chain_of_thought,comprehensive-100,0.0,100,0.61,428238,139368,567606,5676.06,0.4231709999999999,0.00423171,1644.691254,16.44691254,61,39,3
2024-06-07 20:10:54,2024-06-07 20:40:41,gemini-1.0-pro,chain_of_thought,comprehensive-100,0.1,100,0.63,436026,145024,581050,5810.5,0.435549,0.00435549,1786.909355,17.86909355,63,37,2
2024-06-07 20:40:41,2024-06-07 21:08:40,gemini-1.0-pro,chain_of_thought,comprehensive-100,0.2,100,0.6,430337,138705,569042,5690.42,0.423226,0.00423226,1678.988774,16.789887739999998,60,40,2
2024-06-07 21:08:40,2024-06-07 21:41:02,gemini-1.0-pro,chain_of_thought,comprehensive-100,0.3,100,0.59,432580,140159,572739,5727.39,0.4265285,0.004265285,1942.615476,19.42615476,59,41,1
2024-06-07 21:41:02,2024-06-07 23:10:19,gemini-1.0-pro,chain_of_thought,comprehensive-100,0.4,100,0.63,428235,135374,563609,5636.09,0.4171785,0.004171785,5357.147825,53.57147825,63,37,1
2024-06-07 23:10:19,2024-06-07 23:43:24,gemini-1.0-pro,chain_of_thought,comprehensive-100,0.5,100,0.64,441348,150960,592308,5923.08,0.447114,0.00447114,1984.830798,19.84830798,64,36,2
2024-06-07 23:43:24,2024-06-08 00:14:28,gemini-1.0-pro,chain_of_thought,comprehensive-100,0.6,100,0.65,427276,138434,565710,5657.1,0.421289,0.00421289,1863.616839,18.63616839,65,35,3
2024-06-08 00:14:28,2024-06-08 00:48:45,gemini-1.0-pro,chain_of_thought,comprehensive-100,0.7,100,0.6,447799,157494,605293,6052.93,0.4601405,0.004601405,2057.45529,20.5745529,60,40,1
2024-06-08 00:48:45,2024-06-08 01:25:30,gemini-1.0-pro,chain_of_thought,comprehensive-100,0.8,100,0.6,457284,170924,628208,6282.08,0.485028,0.00485028,2204.738034,22.04738034,60,40,2
2024-06-08 01:25:30,2024-06-08 02:05:12,gemini-1.0-pro,chain_of_thought,comprehensive-100,0.9,100,0.58,469932,171311,641243,6412.43,0.4919325,0.0049193249999999,2382.011734,23.820117340000003,58,42,1
2024-06-08 02:05:12,2024-06-08 02:47:13,gemini-1.0-pro,chain_of_thought,comprehensive-100,1.0,100,0.54,471872,186004,657876,6578.76,0.514942,0.00514942,2520.699108,25.20699108,54,46,2
2024-06-07 19:44:14,2024-06-08 01:50:53,gemini-1.5-pro-preview-0409,chain_of_thought,comprehensive-100,0.0,100,0.84,457046,170817,627863,6278.63,6.786479,0.06786479,21999.243801,219.99243801,84,16,2
2024-06-08 01:50:53,2024-06-08 07:00:48,gemini-1.5-pro-preview-0409,chain_of_thought,comprehensive-100,0.1,100,0.8,457360,155532,612892,6128.92,6.467692,0.06467692,18595.057276,185.95057276,80,20,0
2024-06-08 07:00:48,2024-06-08 12:13:11,gemini-1.5-pro-preview-0409,chain_of_thought,comprehensive-100,0.2,100,0.84,462420,161366,623786,6237.86,6.6256260000000005,0.06625626,18742.112291,187.42112291,84,16,0
2024-06-08 12:13:11,2024-06-08 17:26:05,gemini-1.5-pro-preview-0409,chain_of_thought,comprehensive-100,0.3,100,0.8,466148,165536,631684,6316.84,6.739292000000001,0.06739292,18774.790993,187.74790993,80,20,0
2024-06-08 17:26:05,2024-06-08 22:37:05,gemini-1.5-pro-preview-0409,chain_of_thought,comprehensive-100,0.4,100,0.76,458218,163143,621361,6213.61,6.633528999999999,0.0663352899999999,18659.456483,186.59456483,76,24,1
2024-06-08 22:37:05,2024-06-09 03:47:50,gemini-1.5-pro-preview-0409,chain_of_thought,comprehensive-100,0.5,100,0.79,457931,156735,614666,6146.66,6.496952,0.06496952,18644.622116,186.44622116,79,21,0
2024-06-09 03:47:50,2024-06-09 09:02:01,gemini-1.5-pro-preview-0409,chain_of_thought,comprehensive-100,0.6,100,0.77,467791,167911,635702,6357.02,6.800668000000001,0.06800668,18851.871145,188.51871145,77,23,0
2024-06-09 09:02:01,2024-06-09 14:16:34,gemini-1.5-pro-preview-0409,chain_of_thought,comprehensive-100,0.7,100,0.8,468763,169171,637934,6379.34,6.833932000000001,0.06833932,18872.227413,188.72227413,80,20,0
2024-06-09 14:16:34,2024-06-09 19:26:57,gemini-1.5-pro-preview-0409,chain_of_thought,comprehensive-100,0.8,100,0.77,454324,164793,619117,6191.17,6.6409210000000005,0.06640921,18623.379859,186.23379859,77,23,1
2024-06-09 19:26:57,2024-06-10 00:39:00,gemini-1.5-pro-preview-0409,chain_of_thought,comprehensive-100,0.9,100,0.8,458052,169477,627529,6275.29,6.7653810000000005,0.06765381,18722.903825,187.22903825,80,20,1
2024-06-10 00:39:00,2024-06-10 05:55:51,gemini-1.5-pro-preview-0409,chain_of_thought,comprehensive-100,1.0,100,0.81,463076,174921,637997,6379.97,6.914873,0.06914873,19011.260643,190.11260643000003,81,19,1
2024-06-09 08:16:40,2024-06-09 08:27:50,gpt-35-turbo,baseline,comprehensive-100,0.0,100,0.54,48814,9910,58724,587.24,0.093041,0.00093041,670.851122,6.70851122,54,46,1
2024-06-09 08:27:51,2024-06-09 08:39:05,gpt-35-turbo,baseline,comprehensive-100,0.1,100,0.53,48814,8933,57747,577.47,0.091087,0.00091087,674.356905,6.74356905,53,47,1
2024-06-09 08:39:05,2024-06-09 08:51:08,gpt-35-turbo,baseline,comprehensive-100,0.2,100,0.54,48814,8675,57489,574.89,0.090571,0.00090571,723.411733,7.23411733,54,46,1
2024-06-09 08:51:08,2024-06-09 09:02:21,gpt-35-turbo,baseline,comprehensive-100,0.3,100,0.54,48814,8959,57773,577.73,0.091139,0.00091139,672.342757,6.72342757,54,46,1
2024-06-09 09:02:21,2024-06-09 09:13:26,gpt-35-turbo,baseline,comprehensive-100,0.4,100,0.55,48814,8433,57247,572.47,0.090087,0.00090087,665.717551,6.657175509999999,55,45,1
2024-06-09 09:13:26,2024-06-09 09:24:40,gpt-35-turbo,baseline,comprehensive-100,0.5,100,0.53,48814,9604,58418,584.18,0.092429,0.00092429,673.363307,6.73363307,53,47,1
2024-06-09 09:24:40,2024-06-09 09:35:50,gpt-35-turbo,baseline,comprehensive-100,0.6,100,0.52,48814,8768,57582,575.82,0.090757,0.00090757,670.236611,6.702366110000001,52,48,1
2024-06-09 09:35:50,2024-06-09 09:46:59,gpt-35-turbo,baseline,comprehensive-100,0.7,100,0.51,48814,8599,57413,574.13,0.090419,0.00090419,668.753813,6.68753813,51,49,1
2024-06-09 09:46:59,2024-06-09 09:59:00,gpt-35-turbo,baseline,comprehensive-100,0.8,100,0.54,48814,9240,58054,580.54,0.091701,0.00091701,721.432466,7.21432466,54,46,1
2024-06-09 09:59:00,2024-06-09 10:10:11,gpt-35-turbo,baseline,comprehensive-100,0.9,100,0.55,48394,9465,57859,578.59,0.091521,0.00091521,670.383269,6.7038326900000005,55,45,2
2024-06-09 10:10:11,2024-06-09 10:21:22,gpt-35-turbo,baseline,comprehensive-100,1.0,100,0.52,48814,9686,58500,585.0,0.092593,0.00092593,671.801554,6.71801554,52,48,1
2024-06-09 17:16:12,2024-06-09 17:24:31,gpt-35-turbo,chain_of_thought,aqua-rat-100,0.0,100,0.63,37487,200970,238457,2384.57,0.4581705,0.004581705,499.811184,4.99811184,63,37,0
2024-06-09 17:24:31,2024-06-09 17:33:07,gpt-35-turbo,chain_of_thought,aqua-rat-100,0.1,100,0.7,37487,195444,232931,2329.31,0.4471185,0.004471185,515.353818,5.153538180000001,70,30,0
2024-06-09 17:33:07,2024-06-09 17:41:45,gpt-35-turbo,chain_of_thought,aqua-rat-100,0.2,100,0.69,37487,193963,231450,2314.5,0.4441565,0.004441565,518.234852,5.182348520000001,69,31,0
2024-06-09 17:41:45,2024-06-09 17:50:23,gpt-35-turbo,chain_of_thought,aqua-rat-100,0.3,100,0.73,37487,194271,231758,2317.58,0.4447725,0.004447725,517.921122,5.17921122,73,27,0
2024-06-09 17:50:23,2024-06-09 17:59:08,gpt-35-turbo,chain_of_thought,aqua-rat-100,0.4,100,0.73,37487,196463,233950,2339.5,0.4491565,0.004491565,524.999266,5.24999266,73,27,0
2024-06-09 17:59:08,2024-06-09 18:07:54,gpt-35-turbo,chain_of_thought,aqua-rat-100,0.5,100,0.71,37487,196546,234033,2340.33,0.4493225,0.004493225,525.883476,5.25883476,71,29,0
2024-06-09 18:07:54,2024-06-09 18:16:25,gpt-35-turbo,chain_of_thought,aqua-rat-100,0.6,100,0.63,37487,191297,228784,2287.84,0.4388245,0.004388245,511.29564,5.1129564,63,37,0
2024-06-09 18:16:25,2024-06-09 18:25:05,gpt-35-turbo,chain_of_thought,aqua-rat-100,0.7,100,0.7,37487,195366,232853,2328.53,0.4469625,0.004469625,519.723568,5.19723568,70,30,0
2024-06-09 18:25:05,2024-06-09 18:33:45,gpt-35-turbo,chain_of_thought,aqua-rat-100,0.8,100,0.72,37487,193565,231052,2310.52,0.4433605,0.004433605,520.282165,5.20282165,72,28,0
2024-06-09 18:33:45,2024-06-09 18:42:27,gpt-35-turbo,chain_of_thought,aqua-rat-100,0.9,100,0.62,37487,199687,237174,2371.74,0.4556045,0.004556045,522.131578,5.22131578,62,38,1
2024-06-09 18:42:27,2024-06-09 18:50:59,gpt-35-turbo,chain_of_thought,aqua-rat-100,1.0,100,0.68,37487,201371,238858,2388.58,0.4589725,0.004589725,511.548093,5.11548093,68,32,1
2024-06-09 18:50:59,2024-06-09 18:59:18,gpt-35-turbo,chain_of_thought,arc-challenge-test-100,0.0,100,0.85,35486,94800,130286,1302.86,0.242829,0.00242829,498.717831,4.98717831,85,15,0
2024-06-09 18:59:18,2024-06-09 19:07:58,gpt-35-turbo,chain_of_thought,arc-challenge-test-100,0.1,100,0.88,35486,97020,132506,1325.06,0.247269,0.00247269,520.162858,5.20162858,88,12,0
2024-06-09 19:07:58,2024-06-09 19:16:18,gpt-35-turbo,chain_of_thought,arc-challenge-test-100,0.2,100,0.86,35486,96678,132164,1321.64,0.246585,0.00246585,499.58373,4.9958373,86,14,0
2024-06-09 19:16:18,2024-06-09 19:24:36,gpt-35-turbo,chain_of_thought,arc-challenge-test-100,0.3,100,0.86,35486,98898,134384,1343.84,0.251025,0.00251025,498.170191,4.98170191,86,14,0
2024-06-09 19:24:36,2024-06-09 19:33:19,gpt-35-turbo,chain_of_thought,arc-challenge-test-100,0.4,100,0.88,35486,99232,134718,1347.18,0.251693,0.00251693,523.190875,5.23190875,88,12,0
2024-06-09 19:33:19,2024-06-09 19:41:39,gpt-35-turbo,chain_of_thought,arc-challenge-test-100,0.5,100,0.89,35486,102142,137628,1376.28,0.257513,0.00257513,499.713423,4.99713423,89,11,0
2024-06-09 19:41:39,2024-06-09 19:49:58,gpt-35-turbo,chain_of_thought,arc-challenge-test-100,0.6,100,0.9,35486,101764,137250,1372.5,0.256757,0.00256757,499.129769,4.99129769,90,10,0
2024-06-09 19:49:58,2024-06-09 19:58:44,gpt-35-turbo,chain_of_thought,arc-challenge-test-100,0.7,100,0.89,35486,104009,139495,1394.95,0.261247,0.00261247,526.238174,5.26238174,89,11,0
2024-06-09 19:58:44,2024-06-09 20:07:06,gpt-35-turbo,chain_of_thought,arc-challenge-test-100,0.8,100,0.89,35486,105339,140825,1408.25,0.263907,0.00263907,502.279621,5.02279621,89,11,0
2024-06-09 20:07:06,2024-06-09 20:15:24,gpt-35-turbo,chain_of_thought,arc-challenge-test-100,0.9,100,0.87,35486,106046,141532,1415.32,0.265321,0.00265321,497.939988,4.97939988,87,13,0
2024-06-09 20:15:24,2024-06-09 20:24:08,gpt-35-turbo,chain_of_thought,arc-challenge-test-100,1.0,100,0.89,35486,108862,144348,1443.48,0.270953,0.00270953,523.37348,5.2337348,89,11,0
2024-06-07 11:14:53,2024-06-07 11:23:16,gpt-35-turbo,chain_of_thought,comprehensive-100,0.0,100,0.58,56734,159990,216724,2167.24,0.405081,0.00405081,502.686466,5.02686466,58,42,1
2024-06-07 11:23:16,2024-06-07 11:32:01,gpt-35-turbo,chain_of_thought,comprehensive-100,0.1,100,0.65,56734,164138,220872,2208.72,0.413377,0.00413377,525.377008,5.253770080000001,65,35,1
2024-06-07 11:32:01,2024-06-07 11:40:53,gpt-35-turbo,chain_of_thought,comprehensive-100,0.2,100,0.61,56734,162408,219142,2191.42,0.409917,0.00409917,531.568267,5.31568267,61,39,2
2024-06-07 11:40:53,2024-06-07 11:49:54,gpt-35-turbo,chain_of_thought,comprehensive-100,0.3,100,0.61,56734,163493,220227,2202.27,0.412087,0.00412087,540.546358,5.40546358,61,39,1
2024-06-07 11:49:54,2024-06-07 11:58:54,gpt-35-turbo,chain_of_thought,comprehensive-100,0.4,100,0.66,56734,161635,218369,2183.69,0.408371,0.00408371,540.749271,5.4074927100000005,66,34,1
2024-06-07 11:58:54,2024-06-07 12:07:36,gpt-35-turbo,chain_of_thought,comprehensive-100,0.5,100,0.61,56734,158601,215335,2153.35,0.4023029999999999,0.0040230299999999,521.603343,5.21603343,61,39,1
2024-06-07 12:07:36,2024-06-07 12:16:26,gpt-35-turbo,chain_of_thought,comprehensive-100,0.6,100,0.58,56734,162990,219724,2197.24,0.411081,0.0041108099999999,529.754028,5.29754028,58,42,3
2024-06-07 12:16:26,2024-06-07 12:25:15,gpt-35-turbo,chain_of_thought,comprehensive-100,0.7,100,0.62,56734,159543,216277,2162.77,0.404187,0.00404187,529.225997,5.29225997,62,38,1
2024-06-07 12:25:15,2024-06-07 12:34:19,gpt-35-turbo,chain_of_thought,comprehensive-100,0.8,100,0.61,56734,163714,220448,2204.48,0.412529,0.00412529,543.653972,5.43653972,61,39,1
2024-06-07 12:34:19,2024-06-07 12:43:06,gpt-35-turbo,chain_of_thought,comprehensive-100,0.9,100,0.66,56734,159135,215869,2158.69,0.403371,0.0040337099999999,527.336851,5.27336851,66,34,1
2024-06-07 12:43:06,2024-06-07 12:51:55,gpt-35-turbo,chain_of_thought,comprehensive-100,1.0,100,0.61,56734,160276,217010,2170.1,0.405653,0.00405653,528.900097,5.28900097,61,39,1
2024-06-07 14:50:54,2024-06-07 14:59:32,gpt-35-turbo,chain_of_thought,comprehensive-100,1.1,100,0.64,56734,166928,223662,2236.62,0.4189569999999999,0.00418957,517.741721,5.17741721,64,36,1
2024-06-07 14:59:32,2024-06-07 15:08:16,gpt-35-turbo,chain_of_thought,comprehensive-100,1.2,100,0.59,56734,167672,224406,2244.06,0.4204449999999999,0.0042044499999999,523.606742,5.23606742,59,41,2
2024-06-07 15:08:16,2024-06-07 15:18:05,gpt-35-turbo,chain_of_thought,comprehensive-100,1.3,100,0.6,56734,188392,245126,2451.26,0.461885,0.00461885,589.220898,5.89220898,60,40,1
2024-06-07 15:18:05,2024-06-07 15:39:11,gpt-35-turbo,chain_of_thought,comprehensive-100,1.4,100,0.56,56734,255333,312067,3120.67,0.5957669999999999,0.0059576699999999,1266.031481,12.66031481,56,44,1
2024-06-07 15:39:11,2024-06-07 16:49:28,gpt-35-turbo,chain_of_thought,comprehensive-100,1.5,100,0.35,50165,327417,377582,3775.82,0.7300815,0.007300815,4216.449784,42.16449784,35,65,17
2024-06-07 17:11:20,2024-06-07 19:14:03,gpt-35-turbo,chain_of_thought,comprehensive-100,1.6,100,0.05,10452,69806,80258,802.58,0.1552899999999999,0.0015528999999999,7363.220444,73.63220444,5,95,84
2024-06-09 20:24:08,2024-06-09 20:32:25,gpt-35-turbo,chain_of_thought,hellaswag_val-100,0.0,100,0.64,48540,156250,204790,2047.9,0.38531,0.0038531,496.874128,4.96874128,64,36,2
2024-06-09 20:32:25,2024-06-09 20:40:51,gpt-35-turbo,chain_of_thought,hellaswag_val-100,0.1,100,0.69,48540,155114,203654,2036.54,0.383038,0.00383038,506.799517,5.06799517,69,31,2
2024-06-09 20:40:52,2024-06-09 20:49:29,gpt-35-turbo,chain_of_thought,hellaswag_val-100,0.2,100,0.72,48540,152261,200801,2008.01,0.377332,0.00377332,517.791445,5.177914449999999,72,28,2
2024-06-09 20:49:29,2024-06-09 20:57:49,gpt-35-turbo,chain_of_thought,hellaswag_val-100,0.3,100,0.74,48540,152271,200811,2008.11,0.377352,0.00377352,500.044158,5.00044158,74,26,2
2024-06-09 20:57:49,2024-06-09 21:06:15,gpt-35-turbo,chain_of_thought,hellaswag_val-100,0.4,100,0.71,48540,150937,199477,1994.77,0.374684,0.00374684,505.987483,5.05987483,71,29,2
2024-06-09 21:06:15,2024-06-09 21:14:52,gpt-35-turbo,chain_of_thought,hellaswag_val-100,0.5,100,0.76,48540,147443,195983,1959.83,0.367696,0.00367696,516.318449,5.16318449,76,24,2
2024-06-09 21:14:52,2024-06-09 21:23:13,gpt-35-turbo,chain_of_thought,hellaswag_val-100,0.6,100,0.77,48540,147526,196066,1960.66,0.367862,0.00367862,501.51831,5.0151831,77,23,2
2024-06-09 21:23:13,2024-06-09 21:31:38,gpt-35-turbo,chain_of_thought,hellaswag_val-100,0.7,100,0.75,48540,142068,190608,1906.08,0.356946,0.00356946,504.420993,5.04420993,75,25,2
2024-06-09 21:31:38,2024-06-09 21:40:18,gpt-35-turbo,chain_of_thought,hellaswag_val-100,0.8,100,0.8,48540,139552,188092,1880.92,0.3519139999999999,0.0035191399999999,520.020781,5.20020781,80,20,2
2024-06-09 21:40:18,2024-06-09 21:48:39,gpt-35-turbo,chain_of_thought,hellaswag_val-100,0.9,100,0.79,48540,140219,188759,1887.59,0.3532479999999999,0.0035324799999999,501.595742,5.01595742,79,21,3
2024-06-09 21:48:39,2024-06-09 21:57:00,gpt-35-turbo,chain_of_thought,hellaswag_val-100,1.0,100,0.78,48540,138285,186825,1868.25,0.3493799999999999,0.0034937999999999,500.593095,5.00593095,78,22,2
2024-06-09 21:57:00,2024-06-09 22:05:34,gpt-35-turbo,chain_of_thought,logiqa-en-100,0.0,100,0.4,48253,166290,214543,2145.43,0.4049595,0.004049595,514.217091,5.14217091,40,60,1
2024-06-09 22:05:34,2024-06-09 22:13:59,gpt-35-turbo,chain_of_thought,logiqa-en-100,0.1,100,0.53,48253,164234,212487,2124.87,0.4008475,0.004008475,504.291341,5.04291341,53,47,1
2024-06-09 22:13:59,2024-06-09 22:22:24,gpt-35-turbo,chain_of_thought,logiqa-en-100,0.2,100,0.45,48253,164303,212556,2125.56,0.4009855,0.004009855,505.106558,5.05106558,45,55,1
2024-06-09 22:22:24,2024-06-09 22:30:55,gpt-35-turbo,chain_of_thought,logiqa-en-100,0.3,100,0.49,48253,163189,211442,2114.42,0.3987575,0.003987575,510.894637,5.10894637,49,51,1
2024-06-09 22:30:55,2024-06-09 22:39:21,gpt-35-turbo,chain_of_thought,logiqa-en-100,0.4,100,0.45,48253,167326,215579,2155.79,0.4070315,0.004070315,506.695456,5.06695456,45,55,1
2024-06-09 22:39:21,2024-06-09 22:47:48,gpt-35-turbo,chain_of_thought,logiqa-en-100,0.5,100,0.5,48253,167542,215795,2157.95,0.4074635,0.004074635,506.415026,5.06415026,50,50,1
2024-06-09 22:47:48,2024-06-09 22:56:17,gpt-35-turbo,chain_of_thought,logiqa-en-100,0.6,100,0.42,48253,167700,215953,2159.53,0.4077795000000001,0.004077795,509.027569,5.09027569,42,58,1
2024-06-09 22:56:17,2024-06-09 23:04:47,gpt-35-turbo,chain_of_thought,logiqa-en-100,0.7,100,0.42,48253,170714,218967,2189.67,0.4138075,0.004138075,510.289528,5.10289528,42,58,1
2024-06-09 23:04:47,2024-06-09 23:13:17,gpt-35-turbo,chain_of_thought,logiqa-en-100,0.8,100,0.44,48253,169167,217420,2174.2,0.4107135,0.004107135,509.878009,5.09878009,44,56,1
2024-06-09 23:13:17,2024-06-09 23:21:50,gpt-35-turbo,chain_of_thought,logiqa-en-100,0.9,100,0.44,48253,168389,216642,2166.42,0.4091575,0.004091575,513.185488,5.13185488,44,56,1
2024-06-09 23:21:50,2024-06-09 23:30:22,gpt-35-turbo,chain_of_thought,logiqa-en-100,1.0,100,0.42,48253,169889,218142,2181.42,0.4121575,0.004121575,511.475377,5.11475377,42,58,1
2024-06-09 23:30:22,2024-06-09 23:38:48,gpt-35-turbo,chain_of_thought,lsat-ar-100,0.0,100,0.24,51124,240910,292034,2920.34,0.558506,0.0055850599999999,506.489903,5.06489903,24,76,0
2024-06-09 23:38:48,2024-06-09 23:47:44,gpt-35-turbo,chain_of_thought,lsat-ar-100,0.1,100,0.25,51124,232585,283709,2837.09,0.541856,0.00541856,535.342847,5.35342847,25,75,0
2024-06-09 23:47:44,2024-06-09 23:56:43,gpt-35-turbo,chain_of_thought,lsat-ar-100,0.2,100,0.26,51124,236279,287403,2874.03,0.549244,0.0054924399999999,539.243841,5.39243841,26,74,0
2024-06-09 23:56:43,2024-06-10 00:05:44,gpt-35-turbo,chain_of_thought,lsat-ar-100,0.3,100,0.24,51124,242010,293134,2931.34,0.560706,0.00560706,540.889018,5.408890179999999,24,76,0
2024-06-10 00:05:44,2024-06-10 00:14:54,gpt-35-turbo,chain_of_thought,lsat-ar-100,0.4,100,0.25,51124,242341,293465,2934.65,0.561368,0.0056136799999999,550.353202,5.50353202,25,75,0
2024-06-10 00:14:54,2024-06-10 00:24:19,gpt-35-turbo,chain_of_thought,lsat-ar-100,0.5,100,0.28,51124,244594,295718,2957.18,0.565874,0.00565874,564.623096,5.6462309600000005,28,72,0
2024-06-10 00:24:19,2024-06-10 00:34:02,gpt-35-turbo,chain_of_thought,lsat-ar-100,0.6,100,0.22,51124,253330,304454,3044.54,0.583346,0.00583346,583.320653,5.83320653,22,78,0
2024-06-10 00:34:02,2024-06-10 00:44:03,gpt-35-turbo,chain_of_thought,lsat-ar-100,0.7,100,0.23,51124,251801,302925,3029.25,0.580288,0.00580288,600.705407,6.007054070000001,23,77,0
2024-06-10 00:44:03,2024-06-10 00:54:07,gpt-35-turbo,chain_of_thought,lsat-ar-100,0.8,100,0.26,51124,256546,307670,3076.7,0.589778,0.00589778,604.366939,6.04366939,26,74,0
2024-06-10 00:54:07,2024-06-10 01:04:32,gpt-35-turbo,chain_of_thought,lsat-ar-100,0.9,100,0.22,51124,263117,314241,3142.41,0.6029200000000001,0.0060292,624.988443,6.24988443,22,78,0
2024-06-10 01:04:32,2024-06-10 01:15:04,gpt-35-turbo,chain_of_thought,lsat-ar-100,1.0,100,0.2,51124,261320,312444,3124.44,0.599326,0.00599326,631.663647,6.31663647,20,80,0
2024-06-10 01:15:04,2024-06-10 01:23:20,gpt-35-turbo,chain_of_thought,lsat-lr-100,0.0,100,0.39,52154,165410,217564,2175.64,0.409051,0.00409051,495.880983,4.95880983,39,61,0
